ID,Title,TMDB_id,IMGID,Release,Runtime,Genres,Language,Cast,Director,Producer,Writer,Sound Designer,Editor,Director of Photography,Composer,Art Direction,Production Design,Costume Design,Makeup Artist
[Film10003],Theatre of Blood,28498,/jh2AYlIAeWyqgTPSqBeO8DleR3J.jpg,1973-03-16,104,"Comedy,Drama,Horror",en,"Vincent Price,Diana Rigg,Ian Hendry,Harry Andrews,Coral Browne",Douglas Hickox,"Stanley Mann,John Kohn",,,Malcolm Cooke,Wolfgang Suschitzky,Michael J. Lewis,,Michael Seymour,Michael Baldwin,George Blackler
[Film10064],Images,29449,/aTezEYoe3hKPGva8yY4M7b24F3D.jpg,1972-12-18,101,"Drama,Mystery,Horror",en,"Susannah York,René Auberjonois,Marcel Bozzuffi,Hugh Millais,Cathryn Harrison",Robert Altman,Tommy Thompson,,Stomu Yamashta,Graeme Clifford,Vilmos Zsigmond,John Williams,,Leon Ericksen,,Toni Delaney
[Film10116],Sacco & Vanzetti,48211,/lnaDudmzjNUF3EJHlkExFVwaFf.jpg,1971-03-16,120,"Drama,History",it,"Gian Maria Volonté,Riccardo Cucciolla,Cyril Cusack,Rosanna Fratello,Geoffrey Keen",Giuliano Montaldo,"Arrigo Colombo,Giorgio Papi",,,Nino Baragli,Silvano Ippoliti,,,Aurelio Crugnola,,
[Film10117],Night Train Murders,,,,,,,,,,,,,,,,,,
[Film101405],Ofrenda,343008,/ckEMdCKXdfG9j4KB4jabraOqgmh.jpg,1978-06-02,4,,es,,Claudio Caldini,,,,,,,,,,
[Film10246],The Clockmaker of St. Paul,8425,/dmswSI4RZ27MmYQFr5SMddxGdKf.jpg,1974-01-16,105,"Thriller,Drama,Crime",fr,"Philippe Noiret,Jean Rochefort,Jacques Denis,Yves Afonso,Julien Bertheau",Bertrand Tavernier,Raymond Danon,"Bertrand Tavernier,Pierre Bost,Jean Aurenche",,Armand Psenny,Pierre-William Glenn,Philippe Sarde,,Jean Mandaroux,,
[Film1026],Super Fly,,,,,,,,,,,,,,,,,,
[Film10284],Spasmo,94069,/ci9BT6Bgqop21fL0mYLlHbgar8U.jpg,1974-02-16,94,"Thriller,Mystery",it,"Robert Hoffmann,Suzy Kendall,Ivan Rassimov,Adolfo Lastretti,Franco Silva",Umberto Lenzi,Ugo Tucci,,,Eugenio Alabiso,,Ennio Morricone,,Giacomo Caló Carducci,Silvio Laurenzi,Pierantonio Mecacci
[Film102],Valerie and Her Week of Wonders,46315,/x9fZJORCZS0DshbxLSdnzyvU94V.jpg,1970-10-16,73,"Fantasy,Adventure,Drama",cs,"Jaroslava Schallerová,Helena Anýžová,Petr Kopřiva,Jiří Prýmek,Jan Klusák",Jaromil Jireš,,,,Josef Valušiak,Jan Čuřík,Luboš Fišer,Ester Krumbachová,Jan Oliva,,
[Film10316],The Nada Gang,4790,/wxxNqUgtpQPCFS8Bkg50olhsBFA.jpg,1974-02-06,132,Thriller,fr,"Fabio Testi,Michel Duchaussoy,Maurice Garrel,Michel Aumont,Lou Castel",Claude Chabrol,André Génovès,,Guy Chichignoud,Jacques Gaillard,Jean Rabier,Pierre Jansen,Guy Maugin,Guy Littaye,,
[Film10319],Coup d'etat,,,,,,,,,,,,,,,,,,
[Film1033],Nosferatu: A Symphony of Horror,,,,,,,,,,,,,,,,,,
[Film10362],Pretty Baby,26973,/fn3bbYQAt81sWXbhvCZCdoa4ggi.jpg,1978-04-05,110,Drama,en,"Brooke Shields,Keith Carradine,Susan Sarandon,Frances Faye,Antonio Fargas",Louis Malle,Louis Malle,,,Suzanne Fenn,Sven Nykvist,,,Trevor Williams,,"Dave Grayson,Charlene Roberson"
[Film1039],Love and Death,11686,/oJXFd1UHZoOQ1UtoLxbyBLGJDox.jpg,1975-06-10,85,"History,Comedy",en,"Woody Allen,Diane Keaton,Harold Gould,Olga Georges-Picot,Zvee Scooler",Woody Allen,"Charles H. Joffe,Jack Rollins",Woody Allen,,"Ralph Rosenblum,George B. Hively,Ron Kalish",Ghislain Cloquet,,Willy Holt,,,"Anatole Paris,Marie-Madeleine Paris"
[Film10467],The Act of Seeing With One's Own Eyes,126132,/ynhYBFoBkt89zrEXLGS2Exvq4vX.jpg,1972-02-19,32,Documentary,en,,Stan Brakhage,,,,Stan Brakhage,Stan Brakhage,,,,,
[Film10493],Meatballs,14035,/nSrpDkNpZLAB1jLWkeGMxXh09jU.jpg,1979-06-28,92,Comedy,en,"Bill Murray,Harvey Atkin,Russ Banham,Kristine DeBell,Todd Hoffman",Ivan Reitman,Daniel Goldberg,"Harold Ramis,Len Blum,Daniel Goldberg,Janis Allen",,Debra Karen,Donald Wilder,Elmer Bernstein,David Orin Charles,,Judith R. Gellman,Carol Davidson
[Film10543],Watermelon Man,,,,,,,,,,,,,,,,,,
[Film10546],Your Vice Is a Locked Room and Only I Have the Key,69872,/dqPTB9z7sgnn2BRSTeWmn8muLpO.jpg,1972-08-04,97,"Horror,Mystery,Thriller",it,"Edwige Fenech,Anita Strindberg,Luigi Pistilli,Ivan Rassimov,Angela La Vorgna",Sergio Martino,Luciano Martino,,Roberto Moreal,Attilio Vincioni,Giancarlo Ferrando,Bruno Nicolai,,Giorgio Bertolini,Oscar Capponi,Giulio Natalucci
[Film105810],Building Sites Bite,211822,/1O8me8QY7g8eVXAgbxLfhMTUZMH.jpg,1978-01-01,28,Drama,en,"Nigel Rhodes,David McKail,Jo Kendall",David Hughes,,,,David Woodward,,,Bryce Walmsley,,,
[Film10585],Don't Play Us Cheap,90106,/qWHGHu6TZvoXq8UMGbKKqZSFGKK.jpg,1973-01-01,95,"Romance,Comedy,Music",en,"Esther Rolle,Avon Long,Mabel King,Rhetta Hughes,Frank Carey",Melvin Van Peebles,,,,Melvin Van Peebles,Robert Maxwell,,,,"Bernard Johnson,Bernard Johnson",
[Film10650],The Toolbox Murders,27495,/d9ghDjhGW5zQ0MYFFWG8ioH70uE.jpg,1978-03-15,93,Horror,en,"Cameron Mitchell,Pamelyn Ferdin,Wesley Eure,Aneta Corsaut,Nicolas Beauvy",Dennis Donnelly,Tony DiDio,,,Nunzio Darpino,Gary Graver,,,D.J. Bruno,,Edward Ternes
[Film10697],A Lizard in a Woman's Skin,63025,/nxDBBrdybGVJojFXvZysKteY05k.jpg,1971-02-18,104,"Mystery,Thriller,Horror",it,"Florinda Bolkan,Stanley Baker,Jean Sorel,Silvia Monti,Alberto de Mendoza",Lucio Fulci,Edmondo Amati,,,"Giorgio Serrallonga,Vincenzo Tomassi",Luigi Kuveiller,Ennio Morricone,"Román Calatayud,Maurizio Chiari",Nedo Azzini,Maurizio Chiari,
[Film106994],The Shiranui Sea,129375,/kSTNbOnKmbn3ZZtfzQBcLYgBZwK.jpg,1975-01-23,150,Documentary,ja,,Noriaki Tsuchimoto,Ryutaro Takagi,,,"Noriaki Tsuchimoto,Keiko Ichihara","Koshiro Otsu,Masafumi Ichinose",,,,,
